trial_number,success,descriptor
0,False,cube
1,False,cube
2,False,cube
3,False,cube
4,True,cube
5,False,cube
6,False,cube
7,False,cube
8,False,cube
9,False,cube
10,False,cube
11,False,cube
12,False,cube
13,True,cube
14,False,cube
15,False,cube
16,False,cube
17,True,cube
18,False,cube
19,False,cube
20,False,cube
21,False,cube
22,False,cube
23,False,cube
24,False,cube
25,False,cube
26,False,cube
27,False,cube
28,False,cube
29,False,cube
30,False,cube
31,False,cube
32,True,cube
33,False,cube
34,False,cube
35,False,cube
36,True,cube
37,False,cube
38,False,cube
39,False,cube
40,True,cube
41,True,cube
42,False,cube
43,False,cube
44,False,cube
45,False,cube
46,False,cube
47,False,cube ROS shutdown request
48,False,cube ROS shutdown request
49,False,cube ROS shutdown request
50,False,cube ROS shutdown request
51,False,cube ROS shutdown request
52,False,cube ROS shutdown request
53,False,cube ROS shutdown request
54,False,cube ROS shutdown request
55,False,cube ROS shutdown request
56,False,cube ROS shutdown request
57,False,cube ROS shutdown request
58,False,cube ROS shutdown request
59,False,cube ROS shutdown request
60,False,cube ROS shutdown request
61,False,cube ROS shutdown request
62,False,cube ROS shutdown request
63,False,cube ROS shutdown request
64,False,cube ROS shutdown request
65,False,cube ROS shutdown request
66,False,cube ROS shutdown request
67,False,cube ROS shutdown request
68,False,cube ROS shutdown request
69,False,cube ROS shutdown request
70,False,cube ROS shutdown request
71,False,cube ROS shutdown request
72,False,cube ROS shutdown request
73,False,cube ROS shutdown request
74,False,cube ROS shutdown request
75,False,cube ROS shutdown request
76,False,cube ROS shutdown request
77,False,cube ROS shutdown request
78,False,cube ROS shutdown request
79,False,cube ROS shutdown request
80,False,cube ROS shutdown request
81,False,cube ROS shutdown request
82,False,cube ROS shutdown request
83,False,cube ROS shutdown request
84,False,cube ROS shutdown request
85,False,cube ROS shutdown request
86,False,cube ROS shutdown request
87,False,cube ROS shutdown request
88,False,cube ROS shutdown request
89,False,cube ROS shutdown request
90,False,cube ROS shutdown request
91,False,cube ROS shutdown request
92,False,cube ROS shutdown request
93,False,cube ROS shutdown request
94,False,cube ROS shutdown request
95,False,cube ROS shutdown request
96,False,cube ROS shutdown request
97,False,cube ROS shutdown request
98,False,cube ROS shutdown request
99,False,cube ROS shutdown request
100,False,cube ROS shutdown request
101,False,cube ROS shutdown request
102,False,cube ROS shutdown request
103,False,cube ROS shutdown request
104,False,cube ROS shutdown request
105,False,cube ROS shutdown request
106,False,cube ROS shutdown request
107,False,cube ROS shutdown request
108,False,cube ROS shutdown request
109,False,cube ROS shutdown request
110,False,cube ROS shutdown request
111,False,cube ROS shutdown request
112,False,cube ROS shutdown request
113,False,cube ROS shutdown request
114,False,cube ROS shutdown request
115,False,cube ROS shutdown request
116,False,cube ROS shutdown request
117,False,cube ROS shutdown request
118,False,cube ROS shutdown request
119,False,cube ROS shutdown request
120,False,cube ROS shutdown request
121,False,cube ROS shutdown request
122,False,cube ROS shutdown request
